,3-SPFF,SPFF,Student,Agent,2-SPFF
0,0.0176,0.05812,0.01968,0.01764,0.02992
1,0.03252,0.08696,0.03324,0.03388,0.0496
2,0.05352,0.11932,0.05236,0.05672,0.07404
3,0.07596,0.1508,0.07352,0.0788,0.10116
4,0.10368,0.1796,0.10036,0.10264,0.12512
5,0.13168,0.2024,0.12864,0.13084,0.15012
6,0.1544,0.22984,0.15384,0.15848,0.17444
7,0.17808,0.25284,0.17608,0.18048,0.19572
8,0.19772,0.27324,0.19612,0.20516,0.22008
9,0.21876,0.28864,0.21956,0.22204,0.23576
10,0.24044,0.30904,0.24464,0.24588,0.25676
11,0.25612,0.32568,0.26028,0.26248,0.27356
12,0.27584,0.34036,0.27928,0.28016,0.29068
