,5-SPFF,3-SPFF,SPFF,Student,Agent
0,49.376,48.24,44.188,48.884,48.444
1,48.54,46.748,41.304,47.864,47.156
2,47.036,44.648,38.068,45.956,44.964
3,44.68,42.404,34.92,43.44,43.04
4,42.028,39.632,32.04,40.852,40.24
5,39.352,36.832,29.76,38.236,37.828
6,37.008,34.56,27.016,35.508,35.044
7,34.34,32.192,24.716,33.296,32.388
8,32.248,30.228,22.676,30.76,29.952
9,30.028,28.124,21.136,28.764,27.94
10,27.384,25.956,19.096,26.432,25.96
11,25.816,24.388,17.432,24.816,23.664
12,23.9,22.416,15.964,23.264,21.988
